iter	Passed	Remaining
0	161	161689
1	162	81240
2	165	55038
3	168	41835
4	168	33589
5	169	28124
6	171	24365
7	172	21383
8	173	19079
9	174	17282
10	175	15789
11	177	14577
12	178	13516
13	179	12649
14	182	12016
15	183	11281
16	184	10654
17	184	10088
18	185	9571
19	186	9127
20	187	8726
21	188	8358
22	188	8021
23	189	7712
24	190	7427
25	191	7164
26	192	6930
27	193	6702
28	193	6481
29	194	6276
30	194	6085
31	195	5906
32	195	5738
33	196	5579
34	196	5428
35	197	5285
36	197	5151
37	198	5024
38	198	4902
39	199	4786
40	199	4676
41	200	4572
42	201	4473
43	201	4377
44	201	4284
45	202	4197
46	202	4113
47	203	4032
48	203	3955
49	204	3880
50	204	3811
51	205	3746
52	206	3681
53	206	3618
54	207	3558
55	207	3498
56	207	3440
57	208	3384
58	209	3347
59	210	3295
60	210	3245
61	211	3196
62	211	3148
63	212	3102
64	212	3058
65	213	3014
66	213	2976
67	214	2936
68	214	2897
69	215	2857
70	215	2819
71	215	2783
72	216	2747
73	216	2714
74	217	2680
75	217	2648
76	218	2616
77	218	2584
78	219	2554
79	219	2525
80	220	2497
81	220	2471
82	221	2446
83	221	2420
84	222	2394
85	222	2368
86	223	2343
87	224	2324
88	224	2300
89	225	2280
90	226	2257
91	226	2235
92	226	2213
93	227	2191
94	227	2168
95	228	2148
96	228	2128
97	229	2108
98	229	2088
99	229	2069
100	230	2050
101	230	2030
102	231	2012
103	231	1993
104	231	1976
105	232	1959
106	233	1944
107	233	1928
108	233	1912
109	234	1899
110	235	1884
111	235	1870
112	236	1857
113	237	1843
114	237	1829
115	238	1815
116	238	1801
117	239	1787
118	239	1773
119	239	1759
120	240	1746
121	240	1733
122	241	1720
123	241	1708
124	242	1695
125	242	1683
126	243	1670
127	243	1658
128	243	1646
129	244	1635
130	244	1623
131	245	1612
132	245	1601
133	246	1590
134	246	1579
135	247	1569
136	247	1558
137	247	1547
138	248	1537
139	248	1529
140	249	1520
141	250	1512
142	250	1503
143	251	1494
144	251	1484
145	252	1475
146	252	1466
147	253	1457
